Date: 2020-05-07 18:17:03

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;9,3267
1539443075;8,5017
1539446150;10,6397
1539449225;11,4477
1539452300;9,1207
1539455375;9,1117
1539458450;9,4217
1539461525;9,4257
1539464600;9,6997
1539467675;10,1137
1539470750;9,1577
1539473825;8,6177
1539476900;9,0287
1539479975;9,6647
1539483050;9,0677
1539486125;9,1807
1539489200;9,6147
1539492275;8,9407
1539495350;9,9617
1539498425;8,5057
1539501500;8,7617
1539504575;9,8717
1539507650;12,7007
1539510725;12,1587
1539513800;9,3087
1539516875;9,7177
1539519950;9,1207
1539523025;8,7707
1539526100;9,9527
1539529175;9,3297
1539532250;10,3047
1539535325;8,3517
1539538400;9,1827
1539541475;9,1667
1539544550;9,2287
1539547625;9,6097
1539550700;11,0147
1539553775;9,2677
1539556850;9,4057
1539559925;9,2717
1539563000;9,3357
1539566075;9,2347
1539569150;9,7137
1539572225;8,4617
1539575300;8,9687
1539578375;10,7037
1539581450;10,6597
1539584525;12,4257
1539587600;9,2147
1539590675;9,4817
1539593750;9,2767
1539596825;8,4507
1539599900;9,7507
1539602975;9,2377
1539606050;9,3597
1539609125;9,5527
1539612200;8,5017
1539615275;9,4567
1539618350;9,5557
1539621425;9,7507
1539624500;9,5257
1539627575;9,3647
1539630650;9,0167
1539633725;9,5627
1539636800;10,8887
1539639875;8,5277
1539642950;10,2427
1539646025;10,3417
1539649100;8,7367
1539652175;8,9707
1539655250;11,3417
1539658325;13,2857
1539661400;9,2607
1539664475;9,7497
1539667550;9,9667
1539670625;10,3587
1539673700;9,0897
1539676775;8,7747
1539679850;10,3407
1539682925;9,2677
1539686000;9,2787
1539689075;9,4617
1539692150;9,1387
1539695225;9,7637
1539698300;9,5997
1539701375;9,1667
1539704450;9,5557
1539707525;8,8657
1539710600;9,0857
1539713675;8,9627
1539716750;9,2157
1539719825;8,3467
1539722900;9,6497
1539725975;9,5687
1539729050;15,0727
1539732125;16,9167
1539735200;11,6477
1539738275;9,6697
1539741350;9,6997
1539744425;9,2747
1539747500;8,8877
1539750575;9,3357
1539753650;9,3277
1539756725;9,4727
1539759800;9,3837
1539762875;9,6057
1539765950;9,5817
1539769025;8,9227
1539772100;9,1867
1539775175;9,2117
1539778250;8,9907
1539781325;9,1337
1539784400;8,4467
1539787475;9,1817
1539790550;9,8507
1539793625;9,4737
1539796700;9,5107
1539799775;9,7717
1539802850;12,0227
1539805925;13,2187
1539809000;9,7967
1539812075;9,3607
1539815150;9,2607
1539818225;9,3787
1539821300;8,5527
1539824375;8,6187
1539827450;9,5807
1539830525;9,4687
1539833600;9,9497
1539836675;8,9377
1539839750;8,6167
1539842825;9,7487
1539845900;9,8187
1539848975;10,0177
1539852050;8,1327
1539855125;9,5017
1539858200;9,7737
1539861275;9,1207
1539864350;10,8917
1539867425;8,9817
1539870500;8,6677
1539873575;10,2877
1539876650;13,0507
1539879725;13,5957
1539882800;12,4087
1539885875;9,9927
1539888950;9,5807
1539892025;9,2167
1539895100;9,3037
1539898175;9,3627
1539901250;9,1837
1539904325;9,1867
1539907400;9,2687
1539910475;8,5137
1539913550;9,9627
1539916625;8,9657
1539919700;9,9197
1539922775;9,8047
1539925850;8,9697
1539928925;8,5007
1539932000;10,3077
1539935075;9,0797
1539938150;9,4067
1539941225;8,6597
1539944300;9,2057
1539947375;10,2487
1539950450;14,3797
1539953525;17,2347
1539956600;14,9057
1539959675;9,5747
1539962750;9,7967
1539965825;9,5527
1539968900;8,7667
1539971975;8,9897
1539975050;9,2257
1539978125;8,9877
1539981200;10,2047
1539984275;8,8197
1539987350;10,7847
1539990425;8,7667
1539993500;9,3737
1539996575;10,8437
1539999650;8,5597
1540002725;9,6067
1540005800;9,7117
1540008875;9,1797
1540011950;9,2797
1540015025;10,4507
1540018100;11,2107
1540021175;18,6887
1540024250;29,8047
1540027325;33,0387
1540030400;31,3047
1540033475;16,5637
1540036550;12,0447
1540039625;9,5617
1540042700;8,2927
1540045775;8,0417
1540048850;9,1317
1540051925;12,1577
1540055000;11,1257
1540058075;9,1607
1540061150;9,2707
1540064225;9,3067
1540067300;8,9327
1540070375;9,9557
1540073450;9,8497
1540076525;9,2047
1540079600;9,3067
1540082675;9,3167
1540085750;9,7617
1540088825;8,5587
1540091900;9,3757
1540094975;9,9077
1540098050;14,9067
1540101125;17,8097
1540104200;16,5997
1540107275;8,8727
1540110350;8,4157
1540113425;9,7527
1540116500;8,7617
1540119575;9,5717
1540122650;9,6637
1540125725;9,4577
1540128800;8,9777
1540131875;9,5257
1540134950;9,2677
1540138025;9,3077
1540141100;9,4707
1540144175;9,5057
1540147250;9,3047
1540150325;9,8247
1540153400;9,3137
1540156475;9,3557
1540159550;8,1887
1540162625;10,3127
1540165700;9,6537
1540168775;9,0617
1540171850;9,6077
1540174925;13,9827
1540178000;13,1757
1540181075;10,7567
1540184150;8,7577
1540187225;9,0277
1540190300;10,4397
1540193375;9,5087
1540196450;9,6527
1540199525;10,0067
1540202600;9,7517
1540205675;9,8997
1540208750;9,8707
1540211825;9,2627
1540214900;10,0977
1540217975;9,2217
1540221050;9,8237
1540224125;8,3617
1540227200;10,2437
1540230275;9,8097
1540233350;8,7757
1540236425;9,3677
1540239500;10,6967
1540242575;9,4297
1540245650;10,0157
1540248725;13,7347
1540251800;13,0507
1540254875;9,4717
1540257950;9,2587
1540261025;9,3177
1540264100;9,9427
1540267175;9,1817
1540270250;9,2557
1540273325;9,8207
1540276400;9,2577
1540279475;9,1797
1540282550;9,2757
1540285625;10,0137
1540288700;8,6577
1540291775;9,5527
1540294850;9,5197
1540297925;8,7277
1540301000;9,7697
1540304075;8,8607
1540307150;8,9227
1540310225;8,8897
1540313300;9,0367
1540316375;10,9947
1540319450;11,2317
1540322525;16,2247
1540325600;16,8127
1540328675;9,6187
1540331750;9,4097
1540334825;8,9797
1540337900;8,7607
1540340975;10,8527
1540344050;10,2927
1540347125;9,5247
1540350200;9,5617
1540353275;9,7197
1540356350;8,1877
1540359425;8,8307
1540362500;9,9637
1540365575;8,8237
1540368650;10,2097
1540371725;9,5567
1540374800;9,1617
1540377875;9,9627
1540380950;9,4767
1540384025;8,9227
1540387100;9,0337
1540390175;10,5077
1540393250;10,1887
1540396325;12,4867
