Date: 2020-05-07 18:30:20

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;8,9187
1539443075;9,0287
1539446150;8,8407
1539449225;8,8427
1539452300;8,8337
1539455375;8,7107
1539458450;8,5647
1539461525;9,6307
1539464600;9,0767
1539467675;8,5797
1539470750;9,4597
1539473825;8,4657
1539476900;8,7107
1539479975;10,0237
1539483050;8,5217
1539486125;9,1297
1539489200;9,0367
1539492275;10,0187
1539495350;9,7047
1539498425;9,9577
1539501500;9,1607
1539504575;9,8717
1539507650;12,3247
1539510725;12,5397
1539513800;9,4097
1539516875;9,7767
1539519950;9,3227
1539523025;9,6517
1539526100;8,6687
1539529175;9,0737
1539532250;9,2327
1539535325;9,4707
1539538400;8,9277
1539541475;9,0787
1539544550;8,9347
1539547625;9,7067
1539550700;9,7637
1539553775;11,4497
1539556850;8,8727
1539559925;9,4117
1539563000;9,7107
1539566075;10,4567
1539569150;10,2187
1539572225;9,6757
1539575300;8,6227
1539578375;10,7297
1539581450;14,1777
1539584525;14,0817
1539587600;9,7067
1539590675;9,6197
1539593750;9,9247
1539596825;9,8127
1539599900;8,9867
1539602975;8,9347
1539606050;9,4817
1539609125;9,7217
1539612200;9,1207
1539615275;9,5667
1539618350;9,2817
1539621425;10,0937
1539624500;9,3067
1539627575;11,0707
1539630650;10,0647
1539633725;9,2287
1539636800;8,6647
1539639875;10,1137
1539642950;9,3747
1539646025;9,2237
1539649100;9,4127
1539652175;9,2767
1539655250;14,8427
1539658325;16,0217
1539661400;9,9437
1539664475;8,3957
1539667550;8,7297
1539670625;9,2287
1539673700;8,8687
1539676775;9,3747
1539679850;9,7967
1539682925;9,8167
1539686000;9,5257
1539689075;9,7017
1539692150;9,6677
1539695225;8,8207
1539698300;10,9587
1539701375;10,1687
1539704450;8,8677
1539707525;8,9707
1539710600;9,1257
1539713675;10,0937
1539716750;8,6267
1539719825;10,1117
1539722900;10,1067
1539725975;10,0977
1539729050;13,4137
1539732125;15,7947
1539735200;10,2147
1539738275;9,4317
1539741350;9,1737
1539744425;9,1297
1539747500;10,0027
1539750575;8,6757
1539753650;9,7597
1539756725;9,4217
1539759800;9,3547
1539762875;8,9237
1539765950;11,2307
1539769025;10,5127
1539772100;9,9057
1539775175;9,2097
1539778250;9,4667
1539781325;11,2117
1539784400;9,6067
1539787475;10,0677
1539790550;10,4617
1539793625;9,1857
1539796700;9,1247
1539799775;9,8617
1539802850;16,0237
1539805925;16,3627
1539809000;12,3277
1539812075;9,3657
1539815150;10,1197
1539818225;8,9897
1539821300;9,6097
1539824375;10,0527
1539827450;10,3857
1539830525;9,9567
1539833600;10,2567
1539836675;8,8627
1539839750;9,3717
1539842825;10,4057
1539845900;9,4067
1539848975;8,6587
1539852050;10,2617
1539855125;9,2237
1539858200;9,6617
1539861275;9,6297
1539864350;10,4947
1539867425;10,3867
1539870500;9,2277
1539873575;9,6987
1539876650;13,6347
1539879725;17,4427
1539882800;11,6577
1539885875;9,1377
1539888950;9,9567
1539892025;9,7147
1539895100;9,4667
1539898175;9,0617
1539901250;8,4127
1539904325;9,0167
1539907400;9,8137
1539910475;9,4557
1539913550;9,2187
1539916625;9,7097
1539919700;9,6137
1539922775;10,2987
1539925850;9,5617
1539928925;8,0817
1539932000;8,1917
1539935075;9,3257
1539938150;9,3257
1539941225;9,3717
1539944300;9,1747
1539947375;10,3407
1539950450;15,4727
1539953525;17,4277
1539956600;16,3637
1539959675;8,3417
1539962750;9,5237
1539965825;11,1787
1539968900;9,1617
1539971975;9,8157
1539975050;9,2577
1539978125;9,2347
1539981200;9,1727
1539984275;10,4447
1539987350;9,2057
1539990425;9,5047
1539993500;9,5617
1539996575;9,3587
1539999650;10,3057
1540002725;9,7217
1540005800;9,1597
1540008875;9,0647
1540011950;10,0107
