Date: 2020-05-07 18:21:32

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;8,6757
1539443075;9,7137
1539446150;9,2767
1539449225;8,5037
1539452300;9,5687
1539455375;9,0397
1539458450;9,8587
1539461525;9,9047
1539464600;10,4587
1539467675;9,4217
1539470750;8,5217
1539473825;9,3187
1539476900;8,4007
1539479975;10,2017
1539483050;9,9087
1539486125;9,0657
1539489200;9,4527
1539492275;9,8627
1539495350;9,4547
1539498425;8,9427
1539501500;8,8857
1539504575;9,8567
1539507650;10,7037
1539510725;11,0107
1539513800;9,1587
1539516875;9,1687
1539519950;9,1187
1539523025;9,7967
1539526100;8,7637
1539529175;9,9137
1539532250;10,3437
1539535325;9,6787
1539538400;9,6587
1539541475;9,9007
1539544550;9,8177
1539547625;9,4237
1539550700;8,9737
1539553775;10,5957
1539556850;9,0587
1539559925;9,0717
1539563000;8,9847
1539566075;9,0237
1539569150;10,4917
1539572225;9,2857
1539575300;9,7657
1539578375;9,6497
1539581450;12,3677
1539584525;12,0267
1539587600;9,2657
1539590675;8,6247
1539593750;10,1027
1539596825;9,2247
1539599900;9,1347
1539602975;10,2167
1539606050;9,8637
1539609125;9,2357
1539612200;10,6907
1539615275;9,1237
1539618350;8,8857
1539621425;9,4297
1539624500;8,8267
1539627575;8,7277
1539630650;8,8397
1539633725;10,2587
1539636800;8,8797
1539639875;9,4187
1539642950;10,1647
1539646025;9,2267
1539649100;8,3687
1539652175;8,9867
1539655250;10,9107
1539658325;12,8087
1539661400;9,6787
1539664475;8,8677
1539667550;9,7217
1539670625;9,0607
1539673700;9,8087
1539676775;9,2697
1539679850;9,9247
1539682925;9,3357
1539686000;9,5667
1539689075;10,0147
1539692150;9,2567
1539695225;9,5727
1539698300;9,2157
1539701375;9,2067
1539704450;9,1667
1539707525;8,6687
1539710600;8,5147
1539713675;8,5237
1539716750;8,7327
1539719825;9,4037
1539722900;9,9727
1539725975;11,2327
1539729050;13,7307
1539732125;15,4907
1539735200;10,7357
1539738275;9,3317
1539741350;10,0987
1539744425;8,5737
1539747500;9,9527
1539750575;9,6197
1539753650;9,3177
1539756725;9,2177
1539759800;9,2567
1539762875;8,7147
1539765950;9,3317
1539769025;8,8897
1539772100;9,3347
1539775175;9,2097
1539778250;9,4807
1539781325;10,1957
1539784400;9,2687
1539787475;10,2467
1539790550;10,5907
1539793625;9,5787
1539796700;9,4197
1539799775;9,4047
1539802850;12,7067
1539805925;12,6887
1539809000;10,1407
1539812075;9,4537
1539815150;9,2707
1539818225;8,8847
1539821300;9,3347
1539824375;9,8027
1539827450;10,4507
1539830525;9,0617
1539833600;8,8877
1539836675;8,9787
1539839750;9,8097
1539842825;10,5377
1539845900;8,9817
1539848975;9,9557
1539852050;8,8787
1539855125;8,6237
1539858200;9,7517
1539861275;9,9077
1539864350;9,2847
1539867425;9,5237
1539870500;9,4107
1539873575;9,5107
1539876650;11,9807
1539879725;13,6457
1539882800;12,6557
1539885875;9,3037
1539888950;9,2167
1539892025;9,1287
1539895100;9,3837
1539898175;9,0817
1539901250;9,1357
1539904325;9,0167
1539907400;11,3927
1539910475;9,2227
1539913550;9,6707
1539916625;9,1377
1539919700;8,8767
1539922775;9,4787
1539925850;8,7667
1539928925;9,1597
1539932000;9,2297
1539935075;8,9677
1539938150;9,4537
1539941225;8,7737
1539944300;8,7227
1539947375;9,1267
1539950450;16,0907
1539953525;18,4147
1539956600;15,8987
1539959675;8,8917
1539962750;8,9247
1539965825;9,1227
1539968900;9,5617
1539971975;8,7667
1539975050;9,6617
1539978125;10,1907
1539981200;9,0627
1539984275;11,6387
1539987350;9,2757
1539990425;10,0997
1539993500;10,3137
1539996575;9,4047
1539999650;10,3397
1540002725;9,4107
1540005800;9,6157
1540008875;9,4777
1540011950;9,5527
1540015025;10,2577
1540018100;14,6937
1540021175;20,5317
1540024250;28,8177
1540027325;32,7447
1540030400;31,2097
1540033475;13,7727
1540036550;9,4737
1540039625;10,0457
1540042700;9,0627
1540045775;8,7737
1540048850;9,1357
1540051925;8,6767
1540055000;8,7717
1540058075;8,7657
1540061150;9,5077
1540064225;12,8027
1540067300;12,9937
1540070375;10,3137
1540073450;10,2477
1540076525;9,2617
1540079600;9,0177
1540082675;9,1607
1540085750;9,6167
1540088825;9,1667
1540091900;8,8297
1540094975;10,4347
1540098050;14,8517
1540101125;17,4917
1540104200;16,4527
1540107275;9,5577
1540110350;9,7547
1540113425;10,2087
1540116500;10,4427
1540119575;8,7727
1540122650;9,5297
1540125725;9,5717
1540128800;8,5807
1540131875;9,0377
