Date: 2020-05-07 18:13:00

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;8,0537
1539443075;9,7687
1539446150;9,0607
1539449225;10,0517
1539452300;8,6847
1539455375;10,7547
1539458450;9,9087
1539461525;10,1417
1539464600;9,8497
1539467675;9,6737
1539470750;9,7507
1539473825;9,3267
1539476900;9,3087
1539479975;9,1827
1539483050;8,7307
1539486125;9,5707
1539489200;10,0497
1539492275;8,7327
1539495350;10,5117
1539498425;8,7747
1539501500;9,2347
1539504575;10,2927
1539507650;10,1117
1539510725;11,8547
1539513800;9,2657
1539516875;8,7257
1539519950;9,1697
1539523025;9,5167
1539526100;8,9207
1539529175;9,4037
1539532250;9,5057
1539535325;9,4257
1539538400;8,6097
1539541475;9,3557
1539544550;9,1237
1539547625;8,9917
1539550700;9,2857
1539553775;9,9507
1539556850;9,7497
1539559925;9,9567
1539563000;9,3277
1539566075;8,9867
1539569150;9,9487
1539572225;9,0347
1539575300;9,5997
1539578375;9,1667
1539581450;12,9597
1539584525;13,2207
1539587600;9,1717
1539590675;9,4277
1539593750;9,2607
1539596825;9,6587
1539599900;9,5997
1539602975;8,9627
1539606050;8,8267
1539609125;9,7027
1539612200;9,7707
1539615275;10,1437
1539618350;9,4837
1539621425;10,0467
1539624500;9,3337
1539627575;9,6697
1539630650;9,1577
1539633725;9,4567
1539636800;9,2067
1539639875;9,8057
1539642950;9,1207
1539646025;9,5667
1539649100;9,5207
1539652175;10,1527
1539655250;11,0507
1539658325;13,0387
1539661400;8,5827
1539664475;9,3087
1539667550;9,4697
1539670625;9,6307
1539673700;10,3157
1539676775;9,9967
1539679850;9,6587
1539682925;9,1877
1539686000;9,8747
1539689075;9,0107
1539692150;9,2697
1539695225;9,1327
1539698300;9,7027
1539701375;9,4637
1539704450;8,8397
1539707525;9,0197
1539710600;9,0167
1539713675;9,8087
1539716750;9,2157
1539719825;9,6647
1539722900;9,0837
1539725975;9,7567
1539729050;10,5047
1539732125;14,1777
1539735200;10,1077
1539738275;9,6167
1539741350;8,8157
1539744425;9,5257
1539747500;9,4727
1539750575;9,7727
1539753650;9,3097
1539756725;9,9117
1539759800;10,3587
1539762875;8,8307
1539765950;9,5727
1539769025;9,0627
1539772100;9,6027
1539775175;9,1817
1539778250;9,3167
1539781325;11,4807
1539784400;9,9537
1539787475;9,3607
1539790550;10,5557
1539793625;8,8217
1539796700;10,3037
1539799775;9,3657
1539802850;13,7187
1539805925;15,9347
1539809000;13,1067
1539812075;8,8437
1539815150;9,2117
1539818225;9,0797
1539821300;10,5537
1539824375;8,9787
1539827450;8,4127
1539830525;10,0217
1539833600;10,3487
1539836675;9,4317
1539839750;9,3267
1539842825;8,9397
1539845900;9,0617
1539848975;9,4317
1539852050;8,2907
1539855125;9,0707
1539858200;9,0227
1539861275;10,3007
1539864350;9,7497
1539867425;9,1317
1539870500;9,5527
1539873575;8,8867
1539876650;12,8497
1539879725;13,1447
1539882800;11,8127
1539885875;9,3087
1539888950;8,9797
1539892025;10,0217
1539895100;9,5787
1539898175;9,2237
1539901250;9,2627
1539904325;9,0277
1539907400;9,9447
1539910475;9,1337
1539913550;8,7267
1539916625;9,3127
1539919700;9,6027
1539922775;9,2237
1539925850;9,1337
1539928925;9,5047
1539932000;9,9607
1539935075;8,4627
1539938150;8,7317
1539941225;9,6527
1539944300;8,2387
1539947375;9,7237
1539950450;14,0407
1539953525;17,3957
1539956600;16,1217
1539959675;9,1157
1539962750;9,2777
1539965825;8,9797
1539968900;9,3717
1539971975;9,5987
1539975050;8,5007
1539978125;8,9787
1539981200;9,5717
1539984275;10,2657
1539987350;8,6237
1539990425;9,6507
1539993500;9,6707
1539996575;9,5247
1539999650;9,8577
1540002725;9,4087
1540005800;9,4757
1540008875;11,3777
1540011950;9,4287
1540015025;9,1577
1540018100;14,7317
1540021175;20,5947
1540024250;31,2527
1540027325;35,5457
1540030400;34,2057
1540033475;17,4857
1540036550;11,1087
1540039625;9,5767
1540042700;8,8277
1540045775;8,9287
1540048850;8,4667
1540051925;9,2347
1540055000;8,7087
1540058075;9,7707
1540061150;9,4237
1540064225;9,6537
1540067300;9,8067
1540070375;10,2427
1540073450;9,2357
1540076525;8,5787
1540079600;10,4077
1540082675;10,2457
1540085750;8,8137
1540088825;9,4657
1540091900;9,7707
1540094975;8,3497
1540098050;13,3037
1540101125;18,4737
1540104200;16,9027
1540107275;9,8697
1540110350;8,8837
1540113425;10,2867
1540116500;8,3587
1540119575;9,3557
1540122650;10,3967
1540125725;8,9867
1540128800;9,5037
1540131875;10,1577
1540134950;9,1307
1540138025;9,0837
1540141100;9,2337
1540144175;8,7307
1540147250;10,5367
1540150325;9,3817
1540153400;10,4937
1540156475;9,0857
1540159550;9,6037
1540162625;8,9207
1540165700;9,1097
1540168775;9,1807
1540171850;9,5717
1540174925;14,4297
1540178000;14,6047
1540181075;9,8957
1540184150;8,9197
1540187225;8,9337
1540190300;9,3037
1540193375;9,0647
1540196450;9,4607
1540199525;10,6027
1540202600;9,9107
1540205675;10,0437
1540208750;9,7447
1540211825;10,3007
1540214900;8,8607
1540217975;10,2967
1540221050;9,8447
1540224125;9,9437
1540227200;9,3237
1540230275;9,2187
1540233350;9,0367
1540236425;8,9707
1540239500;9,9067
1540242575;9,1137
1540245650;10,6507
1540248725;14,1447
1540251800;14,6937
1540254875;10,3497
1540257950;10,1897
1540261025;8,5727
1540264100;9,1817
1540267175;9,0807
1540270250;8,5567
1540273325;10,0397
1540276400;9,4567
1540279475;9,4067
1540282550;9,2147
1540285625;10,9967
1540288700;9,5107
1540291775;9,0667
1540294850;10,4817
1540297925;9,7107
1540301000;9,7657
1540304075;9,4767
1540307150;9,6597
1540310225;10,2557
1540313300;9,5127
1540316375;9,0777
1540319450;11,0077
1540322525;15,5917
1540325600;15,0487
1540328675;9,6257
1540331750;8,5187
1540334825;9,2577
1540337900;9,5047
1540340975;8,9857
1540344050;9,0687
1540347125;9,9437
1540350200;9,3657
1540353275;10,7957
1540356350;9,3617
1540359425;10,2617
1540362500;8,3067
1540365575;9,6557
1540368650;8,6197
1540371725;9,7967
1540374800;9,0847
1540377875;9,5177
1540380950;10,0117
1540384025;11,5307
1540387100;9,3747
1540390175;10,3887
1540393250;9,8097
1540396325;13,0987
1540399400;13,5077
1540402475;9,5657
1540405550;9,2687
1540408625;9,1297
1540411700;9,0347
1540414775;9,0187
1540417850;9,5477
1540420925;9,2787
1540424000;9,5027
1540427075;9,6507
1540430150;9,3037
1540433225;8,8177
1540436300;9,3747
1540439375;9,6077
1540442450;9,7217
1540445525;9,2127
1540448600;8,6147
1540451675;8,7807
1540454750;10,5927
1540457825;9,4287
1540460900;9,0647
1540463975;9,8947
1540467050;10,4617
1540470125;10,9947
1540473200;11,8147
1540476275;9,4997
1540479350;9,1557
1540482425;9,5707
1540485500;9,2757
1540488575;9,7447
1540491650;9,3697
1540494725;10,0417
1540497800;9,3727
1540500875;9,4287
