Date: 2020-05-07 17:08:35

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;11,1537
1539443075;9,8147
1539446150;9,5597
1539449225;8,7747
1539452300;9,0217
1539455375;9,0587
1539458450;9,0827
1539461525;9,9547
1539464600;10,1117
1539467675;9,5187
1539470750;10,0667
1539473825;9,2567
1539476900;9,4037
1539479975;10,4977
1539483050;9,1687
1539486125;9,4767
1539489200;9,9157
1539492275;8,6627
1539495350;9,6077
1539498425;9,0147
1539501500;9,7657
1539504575;8,8777
1539507650;11,2257
1539510725;12,9027
1539513800;8,5707
1539516875;9,7707
1539519950;9,8217
1539523025;9,0327
1539526100;9,2677
1539529175;9,3297
1539532250;9,4727
1539535325;8,8177
1539538400;8,6667
1539541475;8,2457
1539544550;10,4587
1539547625;10,7567
1539550700;9,9937
1539553775;9,3687
1539556850;9,3207
1539559925;9,2127
1539563000;10,2957
1539566075;9,1277
1539569150;9,9227
1539572225;8,7207
1539575300;9,2747
1539578375;9,5727
1539581450;13,2287
1539584525;12,8987
1539587600;10,0537
1539590675;9,5077
1539593750;10,1177
1539596825;9,3357
1539599900;8,9797
1539602975;9,6107
1539606050;9,3097
1539609125;10,1707
1539612200;9,0147
1539615275;9,6287
1539618350;9,7677
1539621425;9,2177
1539624500;9,9567
1539627575;9,6737
1539630650;10,0057
1539633725;9,7247
1539636800;8,8267
1539639875;9,5137
1539642950;9,5137
1539646025;11,1827
1539649100;9,7217
1539652175;9,6237
1539655250;13,3747
1539658325;11,6597
1539661400;9,4677
1539664475;8,8747
1539667550;9,7157
1539670625;9,4567
1539673700;9,0237
1539676775;8,7677
1539679850;9,4617
1539682925;9,1717
1539686000;9,3837
1539689075;9,3547
1539692150;9,8747
1539695225;8,7697
1539698300;10,1227
1539701375;9,2347
1539704450;8,7797
1539707525;8,8637
1539710600;9,1867
1539713675;9,2247
1539716750;9,4657
1539719825;9,1627
1539722900;9,2717
1539725975;9,1147
1539729050;13,6917
1539732125;14,5497
1539735200;9,9097
1539738275;10,1987
1539741350;9,0897
1539744425;9,9157
1539747500;9,8497
1539750575;9,1607
1539753650;8,9257
1539756725;8,5807
1539759800;8,9227
1539762875;10,4097
1539765950;9,8607
1539769025;9,5677
1539772100;9,6637
1539775175;9,0777
1539778250;9,6967
1539781325;9,8617
1539784400;9,7077
1539787475;8,8277
1539790550;9,3547
1539793625;9,2337
1539796700;10,0617
1539799775;9,2277
1539802850;11,7677
1539805925;13,6997
1539809000;10,1497
1539812075;8,5507
1539815150;9,1817
1539818225;10,5337
1539821300;9,0887
1539824375;8,4737
1539827450;9,3197
1539830525;8,3197
1539833600;9,7467
1539836675;8,4077
1539839750;9,0387
1539842825;8,3657
1539845900;9,5157
1539848975;10,4347
1539852050;8,9107
1539855125;9,7017
1539858200;8,8167
1539861275;10,4127
1539864350;10,7347
1539867425;9,0157
1539870500;9,4117
1539873575;9,6087
1539876650;17,7357
1539879725;18,3907
1539882800;15,0967
1539885875;9,9697
1539888950;9,3767
1539892025;9,0777
1539895100;9,5127
1539898175;9,6177
1539901250;9,5197
1539904325;9,2627
1539907400;9,9627
1539910475;8,5547
1539913550;10,1057
1539916625;10,0437
1539919700;10,1627
1539922775;9,6757
1539925850;10,2377
1539928925;9,6687
1539932000;8,8667
1539935075;9,7017
1539938150;9,0387
1539941225;9,3837
1539944300;8,2667
1539947375;9,8537
1539950450;13,5827
1539953525;16,4567
1539956600;13,1377
1539959675;10,0477
1539962750;8,7087
1539965825;9,9737
1539968900;8,9707
1539971975;8,8847
1539975050;10,3077
1539978125;9,8947
1539981200;8,6617
1539984275;8,6707
1539987350;9,5307
1539990425;10,4347
1539993500;10,1907
1539996575;9,4517
1539999650;9,6097
1540002725;9,5107
1540005800;9,2337
1540008875;9,4537
1540011950;8,8717
1540015025;9,6617
1540018100;15,7457
1540021175;19,6757
1540024250;29,2827
1540027325;32,5797
1540030400;30,6617
1540033475;14,5927
1540036550;9,4827
1540039625;9,7957
1540042700;9,2227
1540045775;8,7287
1540048850;9,5237
1540051925;8,5527
1540055000;9,8097
1540058075;9,5517
1540061150;10,9047
1540064225;9,2127
1540067300;9,8727
1540070375;9,9417
1540073450;9,2597
1540076525;9,0767
1540079600;9,5537
1540082675;10,3937
1540085750;9,4817
1540088825;9,2137
1540091900;9,0127
1540094975;9,7137
1540098050;14,5337
1540101125;15,4847
1540104200;15,3867
1540107275;10,0607
1540110350;9,2267
1540113425;10,6397
1540116500;9,7007
1540119575;8,5147
