Date: 2020-05-07 16:20:40

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;9,2767
1539443075;9,6257
1539446150;8,7837
1539449225;9,0877
1539452300;10,0037
1539455375;9,1827
1539458450;9,8587
1539461525;11,4257
1539464600;10,2887
1539467675;9,3207
1539470750;9,6217
1539473825;10,6047
1539476900;10,0187
1539479975;9,8037
1539483050;8,9907
1539486125;9,2347
1539489200;8,9707
1539492275;8,7637
1539495350;8,7307
1539498425;9,5077
1539501500;9,3637
1539504575;9,2587
1539507650;10,3937
1539510725;10,2037
1539513800;8,5577
1539516875;9,7217
1539519950;9,8147
1539523025;8,4987
1539526100;8,9407
1539529175;8,7617
1539532250;9,1787
1539535325;8,6777
1539538400;9,5627
1539541475;8,2497
1539544550;9,4317
1539547625;8,8677
1539550700;9,1167
1539553775;9,3747
1539556850;8,7877
1539559925;9,0587
1539563000;8,7367
1539566075;10,0187
1539569150;10,0577
1539572225;10,8887
1539575300;9,5727
1539578375;9,6307
1539581450;11,4427
1539584525;11,0147
1539587600;8,7877
1539590675;8,9607
1539593750;9,5297
1539596825;8,7697
1539599900;9,2247
1539602975;9,5557
1539606050;9,5207
1539609125;9,6567
1539612200;9,0107
1539615275;9,0607
1539618350;9,0827
1539621425;8,9387
1539624500;9,4817
1539627575;9,2247
1539630650;9,7157
1539633725;9,4657
1539636800;9,2147
1539639875;10,1917
1539642950;9,8147
1539646025;8,7327
1539649100;8,9687
1539652175;9,0637
1539655250;12,2707
1539658325;12,1497
1539661400;9,1877
1539664475;9,3187
1539667550;8,8817
1539670625;8,7637
1539673700;10,0487
1539676775;9,8737
1539679850;8,9147
1539682925;9,5117
1539686000;8,9207
1539689075;9,4797
1539692150;9,5137
1539695225;9,3547
1539698300;10,1137
1539701375;8,9117
1539704450;9,2807
1539707525;8,7797
1539710600;9,4297
1539713675;9,5757
1539716750;9,4217
1539719825;8,6247
1539722900;9,3247
1539725975;8,4597
1539729050;13,3767
1539732125;14,1767
1539735200;9,7727
1539738275;8,9647
1539741350;9,1587
1539744425;9,8037
1539747500;9,4297
1539750575;9,3297
1539753650;9,0277
1539756725;8,9647
1539759800;9,3547
1539762875;8,9347
1539765950;8,8287
1539769025;8,5637
1539772100;9,3567
1539775175;9,6617
1539778250;9,1837
1539781325;9,2737
1539784400;8,8417
1539787475;9,4317
1539790550;10,5957
1539793625;8,5637
1539796700;9,8097
1539799775;9,5717
1539802850;10,6507
1539805925;12,4357
1539809000;10,5107
1539812075;9,3057
1539815150;9,7647
1539818225;9,8757
1539821300;9,0797
1539824375;9,2577
1539827450;9,8527
1539830525;9,2687
1539833600;8,8807
1539836675;8,7687
1539839750;9,5567
1539842825;9,2737
1539845900;8,9617
1539848975;10,1477
1539852050;8,8787
1539855125;9,1247
1539858200;8,3927
1539861275;9,1337
1539864350;9,7467
1539867425;9,1287
1539870500;9,4827
1539873575;10,2437
1539876650;13,7387
1539879725;15,3217
1539882800;10,4967
1539885875;8,5047
1539888950;9,0357
1539892025;8,9227
1539895100;10,4417
1539898175;9,2297
1539901250;8,6837
1539904325;9,9977
1539907400;9,3217
1539910475;9,9037
1539913550;9,3697
1539916625;10,1957
1539919700;10,5447
1539922775;9,4267
1539925850;9,0817
1539928925;9,0617
1539932000;9,6267
1539935075;8,5117
1539938150;9,5657
1539941225;10,0017
1539944300;9,6727
1539947375;11,7637
1539950450;15,9387
1539953525;18,2297
1539956600;15,4167
1539959675;8,9227
1539962750;9,8117
1539965825;8,9797
1539968900;8,7737
1539971975;10,3857
1539975050;9,7117
1539978125;9,6597
1539981200;9,9537
1539984275;9,5527
1539987350;8,8127
1539990425;9,8057
1539993500;9,1157
1539996575;9,7987
1539999650;10,2137
1540002725;9,8447
1540005800;9,0357
1540008875;10,0487
1540011950;10,6037
1540015025;12,0247
1540018100;13,5787
1540021175;21,2407
1540024250;32,1707
1540027325;34,8097
1540030400;33,0477
1540033475;14,7037
1540036550;9,4697
1540039625;9,4117
1540042700;9,1687
1540045775;9,7037
1540048850;9,1777
1540051925;8,9747
1540055000;11,2727
1540058075;9,8017
1540061150;9,3627
1540064225;9,3027
1540067300;10,7427
1540070375;10,2107
1540073450;9,9547
1540076525;9,2547
1540079600;9,4617
1540082675;9,3797
1540085750;9,0837
1540088825;9,5507
1540091900;9,2197
1540094975;10,3017
1540098050;15,7317
1540101125;19,3887
1540104200;17,8657
1540107275;9,8977
1540110350;8,7687
1540113425;9,2197
