Date: 2020-05-07 15:50:56

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;9,8637
1539443075;9,2267
1539446150;9,8537
1539449225;9,1647
1539452300;8,8207
1539455375;8,3597
1539458450;8,8407
1539461525;9,6677
1539464600;9,7087
1539467675;8,7127
1539470750;9,5187
1539473825;9,6567
1539476900;9,3727
1539479975;10,0097
1539483050;11,2847
1539486125;9,3177
1539489200;9,6097
1539492275;9,1387
1539495350;9,5667
1539498425;8,9917
1539501500;9,1847
1539504575;9,0217
1539507650;10,9157
1539510725;12,0487
1539513800;9,4617
1539516875;10,6377
1539519950;9,6567
1539523025;8,9337
1539526100;9,1807
1539529175;9,0767
1539532250;9,5537
1539535325;8,3197
1539538400;9,4597
1539541475;9,1127
1539544550;9,2697
1539547625;8,7727
1539550700;9,5537
1539553775;9,1277
1539556850;9,8457
1539559925;9,9007
1539563000;9,4097
1539566075;8,5717
1539569150;10,2467
1539572225;9,8547
1539575300;8,7217
1539578375;10,1547
1539581450;12,9977
1539584525;12,7107
1539587600;8,6627
1539590675;10,1417
1539593750;9,7477
1539596825;8,5517
1539599900;8,8317
1539602975;9,5047
1539606050;8,9707
1539609125;9,7217
1539612200;9,3667
1539615275;11,3377
1539618350;9,8087
1539621425;9,6107
1539624500;8,6297
1539627575;9,0747
1539630650;9,9117
1539633725;8,9117
1539636800;9,3847
1539639875;9,9137
1539642950;9,4587
1539646025;10,1077
1539649100;9,4187
1539652175;8,9917
1539655250;12,4867
1539658325;12,4677
1539661400;9,8497
1539664475;9,4547
1539667550;9,4037
1539670625;10,9127
1539673700;9,4167
1539676775;9,3687
1539679850;9,8067
1539682925;9,3277
1539686000;8,4047
1539689075;9,1237
1539692150;9,4237
1539695225;8,0577
1539698300;9,2287
1539701375;9,7287
1539704450;8,6597
1539707525;9,1277
1539710600;9,4257
1539713675;9,8747
1539716750;10,0077
1539719825;9,3267
1539722900;10,3457
1539725975;10,0597
1539729050;12,3567
1539732125;13,5377
1539735200;10,1117
1539738275;9,4207
1539741350;9,3637
1539744425;9,5047
1539747500;9,4767
1539750575;9,8957
1539753650;8,8707
1539756725;8,7767
1539759800;9,3137
1539762875;9,0127
1539765950;10,1597
1539769025;9,6207
1539772100;8,5787
1539775175;8,8197
1539778250;9,8227
1539781325;9,9697
1539784400;9,2667
1539787475;9,8167
1539790550;10,0567
1539793625;9,1777
1539796700;9,5677
1539799775;9,4537
1539802850;12,4727
1539805925;14,0667
1539809000;9,6297
1539812075;8,5587
1539815150;10,4617
1539818225;8,5207
1539821300;8,9217
1539824375;9,1247
1539827450;9,1857
1539830525;9,0207
1539833600;8,2447
1539836675;9,7757
1539839750;9,8987
1539842825;9,8537
1539845900;9,8077
1539848975;9,7277
1539852050;9,0117
1539855125;8,6857
1539858200;9,9537
1539861275;9,4627
1539864350;9,2277
1539867425;9,1727
1539870500;8,8757
1539873575;9,5177
1539876650;15,5327
1539879725;15,8467
1539882800;14,2307
1539885875;10,4507
1539888950;8,6747
1539892025;8,8187
1539895100;8,6327
1539898175;9,2347
1539901250;9,0647
1539904325;9,2737
1539907400;8,8127
1539910475;9,7967
1539913550;10,3137
1539916625;8,0507
1539919700;9,9677
1539922775;9,7677
1539925850;8,7777
1539928925;8,9397
1539932000;9,5587
1539935075;10,6937
1539938150;9,6067
1539941225;9,0797
1539944300;9,2097
1539947375;12,7007
1539950450;18,4927
1539953525;17,1757
1539956600;14,5487
1539959675;9,4537
1539962750;9,5567
1539965825;10,1457
1539968900;9,0687
1539971975;9,9927
1539975050;8,7157
1539978125;9,3307
1539981200;8,2577
1539984275;9,3697
1539987350;10,0197
1539990425;9,7277
1539993500;9,9077
1539996575;9,9587
1539999650;9,8207
1540002725;9,0317
1540005800;9,6757
1540008875;9,6207
1540011950;8,7827
1540015025;9,5747
1540018100;11,1787
1540021175;19,7217
1540024250;31,5367
1540027325;35,0737
1540030400;33,2717
1540033475;14,2487
1540036550;10,2417
1540039625;9,4137
1540042700;9,2737
1540045775;9,3177
1540048850;9,1107
1540051925;8,5567
1540055000;9,8617
1540058075;9,1167
1540061150;8,7637
1540064225;9,0377
1540067300;8,7777
1540070375;10,1487
1540073450;9,5707
1540076525;9,1367
1540079600;9,2797
1540082675;9,4057
1540085750;9,2567
1540088825;9,2657
1540091900;9,4057
1540094975;11,9197
1540098050;18,3587
1540101125;21,6127
1540104200;15,6217
1540107275;10,1537
1540110350;9,3277
1540113425;9,5037
1540116500;9,2067
1540119575;9,9447
1540122650;9,2637
1540125725;9,4057
1540128800;8,6777
1540131875;8,3407
1540134950;9,3047
1540138025;9,7947
1540141100;9,4187
