Date: 2020-05-07 16:47:21

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;9,9667
1539443075;9,3557
1539446150;8,5257
1539449225;9,4547
1539452300;9,4317
1539455375;8,9887
1539458450;9,2717
1539461525;8,6607
1539464600;8,9807
1539467675;9,8147
1539470750;9,6057
1539473825;8,7307
1539476900;10,0007
1539479975;8,7167
1539483050;9,5687
1539486125;9,5167
1539489200;9,7157
1539492275;8,4527
1539495350;9,1587
1539498425;9,1647
1539501500;9,4187
1539504575;9,5997
1539507650;13,7347
1539510725;13,3167
1539513800;9,2107
1539516875;10,1617
1539519950;8,2097
1539523025;9,3187
1539526100;9,5277
1539529175;9,8217
1539532250;8,7767
1539535325;9,1717
1539538400;8,3647
1539541475;9,4597
1539544550;8,4067
1539547625;8,9737
1539550700;10,2947
1539553775;9,0787
1539556850;8,6267
1539559925;8,8427
1539563000;9,5777
1539566075;9,4277
1539569150;8,6597
1539572225;8,7187
1539575300;9,1737
1539578375;10,4517
1539581450;10,1417
1539584525;10,1707
1539587600;9,5707
1539590675;9,1687
1539593750;9,5247
1539596825;9,3637
1539599900;9,4707
1539602975;8,5537
1539606050;9,2857
1539609125;9,8057
1539612200;9,7587
1539615275;9,4207
1539618350;9,3757
1539621425;10,4367
1539624500;8,9607
1539627575;9,0877
1539630650;9,0237
1539633725;8,7097
1539636800;8,6867
1539639875;9,7027
1539642950;9,1297
1539646025;9,4297
1539649100;8,2107
1539652175;8,8337
1539655250;12,9097
1539658325;12,3567
1539661400;9,1237
1539664475;9,9747
1539667550;9,4237
1539670625;9,1207
1539673700;9,7997
1539676775;8,9737
1539679850;9,5707
1539682925;9,8127
1539686000;9,7287
1539689075;9,2787
1539692150;9,1367
1539695225;9,7767
1539698300;9,2347
1539701375;9,4187
1539704450;8,3207
1539707525;9,1097
1539710600;9,4677
1539713675;8,8137
1539716750;9,1647
1539719825;9,3087
1539722900;9,9707
1539725975;9,7657
1539729050;11,8177
1539732125;14,7887
1539735200;10,0627
1539738275;9,8697
1539741350;8,9687
1539744425;9,6217
1539747500;9,4167
1539750575;8,7897
1539753650;9,9177
1539756725;9,9437
1539759800;9,2147
1539762875;8,8797
1539765950;10,2187
1539769025;9,0687
1539772100;10,0067
1539775175;9,5267
1539778250;9,4047
1539781325;9,7217
1539784400;8,9337
1539787475;9,8247
1539790550;9,2797
1539793625;8,5287
1539796700;8,7697
1539799775;9,2117
1539802850;12,0297
1539805925;13,0307
1539809000;9,7557
1539812075;8,8677
1539815150;10,3537
1539818225;9,1197
1539821300;9,1137
1539824375;9,8167
1539827450;9,2207
1539830525;10,0657
1539833600;9,9627
1539836675;10,1167
1539839750;8,6837
1539842825;8,5097
1539845900;8,9217
1539848975;9,9927
1539852050;9,0207
1539855125;8,6127
1539858200;8,8187
1539861275;10,7577
1539864350;9,6267
1539867425;9,2237
1539870500;8,7137
1539873575;9,2097
1539876650;12,3137
1539879725;12,6957
1539882800;10,4057
1539885875;8,7647
1539888950;8,8327
1539892025;9,3587
1539895100;9,0337
1539898175;8,9177
1539901250;9,8207
1539904325;9,6727
1539907400;9,8167
1539910475;9,9517
1539913550;9,4777
1539916625;9,5217
1539919700;9,0247
1539922775;9,2097
1539925850;9,0707
1539928925;8,2027
1539932000;9,4647
1539935075;9,3327
1539938150;8,8647
1539941225;10,3427
1539944300;9,1197
1539947375;10,8877
1539950450;15,4187
1539953525;18,4637
1539956600;14,9467
1539959675;9,8737
1539962750;10,0067
1539965825;9,3637
1539968900;10,1657
1539971975;9,3737
1539975050;8,7897
1539978125;9,7627
1539981200;9,1687
1539984275;9,2137
1539987350;9,4247
1539990425;8,9217
1539993500;9,7987
1539996575;9,2577
1539999650;9,2367
1540002725;9,8617
1540005800;9,4757
1540008875;8,0397
1540011950;8,8167
1540015025;11,0497
1540018100;10,0567
1540021175;18,9607
1540024250;30,5477
1540027325;33,9497
1540030400;31,6667
1540033475;12,8237
1540036550;9,4737
1540039625;8,5707
1540042700;9,3307
1540045775;9,8947
1540048850;10,6087
