Date: 2020-05-08 12:08:50

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 140
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;7,3987
1539443075;8,6227
1539446150;9,8237
1539449225;8,2017
1539452300;9,4747
1539455375;10,0977
1539458450;9,8057
1539461525;9,3247
1539464600;8,8657
1539467675;9,8177
1539470750;9,4637
1539473825;8,4547
1539476900;7,8937
1539479975;9,0377
1539483050;8,4707
1539486125;8,1517
1539489200;8,4067
1539492275;9,9047
1539495350;8,9317
1539498425;9,0397
1539501500;7,5527
1539504575;8,4657
1539507650;11,5827
1539510725;10,3507
1539513800;10,4907
1539516875;8,0397
1539519950;9,2637
1539523025;8,9807
1539526100;9,1127
1539529175;8,4007
1539532250;7,8977
1539535325;8,2597
1539538400;10,0007
1539541475;7,7297
1539544550;7,7847
1539547625;10,0607
1539550700;8,1097
1539553775;9,0377
1539556850;7,4687
1539559925;8,3197
1539563000;8,7767
1539566075;7,8387
1539569150;8,2147
1539572225;8,3177
1539575300;9,1127
1539578375;9,1147
1539581450;11,9097
1539584525;12,0877
1539587600;9,6567
1539590675;8,4137
1539593750;8,8227
1539596825;9,8997
1539599900;8,2657
1539602975;9,0717
1539606050;8,7147
1539609125;9,5997
1539612200;8,5737
1539615275;10,1067
1539618350;9,2677
1539621425;7,7267
1539624500;8,8337
1539627575;8,3697
1539630650;8,2097
1539633725;7,6297
1539636800;8,3467
1539639875;7,5567
1539642950;7,4157
1539646025;9,0217
1539649100;7,5567
1539652175;9,7677
1539655250;11,3717
1539658325;10,7567
1539661400;9,5117
1539664475;9,2087
1539667550;7,9907
1539670625;10,8617
1539673700;8,1487
1539676775;8,4177
1539679850;7,9397
1539682925;8,3957
1539686000;7,8987
1539689075;7,8777
1539692150;9,5227
1539695225;9,4637
1539698300;9,5117
1539701375;7,3477
1539704450;9,1207
1539707525;7,9237
1539710600;9,3297
1539713675;10,0227
1539716750;8,8767
1539719825;8,3557
1539722900;8,3597
1539725975;9,2107
1539729050;11,9737
1539732125;13,1977
1539735200;10,1647
1539738275;6,8007
1539741350;8,1497
1539744425;10,1227
1539747500;8,8157
1539750575;7,5177
1539753650;7,9837
1539756725;9,0257
1539759800;8,6797
1539762875;9,8147
1539765950;10,4587
1539769025;7,7887
1539772100;8,5747
1539775175;8,3617
1539778250;9,5497
1539781325;7,6667
1539784400;8,7297
1539787475;8,4647
1539790550;9,3747
1539793625;9,0757
1539796700;10,0437
1539799775;8,4057
1539802850;12,8707
1539805925;13,9287
1539809000;8,6787
1539812075;7,9757
1539815150;7,2877
1539818225;9,7557
1539821300;8,8867
1539824375;8,1597
1539827450;9,4247
1539830525;8,6637
1539833600;9,1227
1539836675;7,6727
1539839750;8,8147
1539842825;8,0417
1539845900;7,6707
1539848975;8,9137
1539852050;7,5597
1539855125;8,5117
1539858200;8,2007
1539861275;9,0737
1539864350;9,0097
1539867425;8,2577
1539870500;8,2117
1539873575;8,9287
1539876650;11,0767
1539879725;13,2707
1539882800;10,5007
1539885875;7,8707
1539888950;9,8507
1539892025;10,3137
1539895100;6,9057
1539898175;9,2557
1539901250;7,9377
1539904325;7,9287
1539907400;8,2467
1539910475;8,5177
1539913550;10,0707
1539916625;9,0817
1539919700;9,4267
1539922775;8,5547
1539925850;8,3547
1539928925;8,7227
1539932000;9,4777
1539935075;8,8437
1539938150;7,1387
1539941225;8,2467
1539944300;8,6657
1539947375;8,0507
1539950450;12,4657
1539953525;13,3047
1539956600;10,2007
1539959675;8,6037
1539962750;9,0247
1539965825;8,2987
1539968900;8,6837
1539971975;7,1807
1539975050;8,9857
1539978125;10,3097
1539981200;8,2407
1539984275;8,5227
1539987350;8,4197
1539990425;8,5507
1539993500;9,0687
1539996575;8,2387
1539999650;7,6817
1540002725;8,5637
1540005800;7,6727
1540008875;9,7257
1540011950;9,6297
1540015025;12,8657
1540018100;9,2167
1540021175;16,0967
1540024250;24,6687
1540027325;26,6837
1540030400;21,9577
1540033475;10,7957
1540036550;8,3187
1540039625;10,2027
1540042700;9,1247
1540045775;9,2347
1540048850;8,2667
1540051925;8,8757
1540055000;8,1367
1540058075;8,3937
1540061150;10,1617
1540064225;7,7667
1540067300;8,2577
1540070375;8,2037
1540073450;9,2307
1540076525;7,3937
1540079600;8,2957
1540082675;9,5117
1540085750;8,8337
1540088825;7,9997
1540091900;7,2887
1540094975;8,5517
1540098050;11,5387
1540101125;12,4747
1540104200;11,4227
1540107275;9,7157
1540110350;8,5277
1540113425;8,2977
1540116500;8,2657
1540119575;9,0357
1540122650;7,7407
1540125725;7,3957
1540128800;8,4637
1540131875;8,8387
1540134950;8,4007
1540138025;8,4507
1540141100;9,4147
1540144175;8,4707
1540147250;8,5687
1540150325;8,4707
1540153400;8,8407
1540156475;9,6287
1540159550;7,9837
1540162625;9,5717
1540165700;8,5107
1540168775;9,1237
1540171850;9,5707
1540174925;13,2607
1540178000;12,4107
1540181075;7,8367
1540184150;7,6667
1540187225;8,0267
1540190300;8,7247
1540193375;8,2047
