Date: 2020-05-08 14:32:02

Measuring points
Start X: 210
End X: 234
Start Y: 120
End Y: 135
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;10,0647
1539443075;9,1217
1539446150;9,9087
1539449225;10,0167
1539452300;10,2477
1539455375;10,2037
1539458450;10,8357
1539461525;11,0767
1539464600;10,7017
1539467675;9,8257
1539470750;9,4037
1539473825;9,5257
1539476900;9,9547
1539479975;9,9597
1539483050;10,0597
1539486125;9,7747
1539489200;9,6737
1539492275;10,3477
1539495350;9,2377
1539498425;9,6167
1539501500;11,0107
1539504575;12,6617
1539507650;15,7487
1539510725;15,7307
1539513800;10,5597
1539516875;9,3297
1539519950;10,8887
1539523025;9,9687
1539526100;9,4317
1539529175;11,3157
1539532250;9,9667
1539535325;9,2767
1539538400;9,2587
1539541475;9,6627
1539544550;10,2697
1539547625;10,1987
1539550700;9,3277
1539553775;10,7077
1539556850;10,0717
1539559925;9,9207
1539563000;10,0627
1539566075;9,6277
1539569150;10,2427
1539572225;9,9087
1539575300;10,1067
1539578375;12,2507
1539581450;16,5107
1539584525;16,3637
1539587600;9,7197
1539590675;9,0637
1539593750;9,3047
1539596825;9,6107
1539599900;9,9087
1539602975;9,8747
1539606050;10,1667
1539609125;10,3107
1539612200;9,2607
1539615275;10,1597
1539618350;9,5577
1539621425;9,8237
1539624500;11,1087
1539627575;10,6837
1539630650;10,1647
1539633725;9,8107
1539636800;11,0017
1539639875;10,7517
1539642950;9,8517
1539646025;9,6557
1539649100;9,9197
1539652175;12,3267
1539655250;16,8097
1539658325;17,0637
1539661400;9,7997
1539664475;9,1367
1539667550;10,2677
1539670625;9,7977
1539673700;10,0447
1539676775;10,4407
1539679850;9,0177
1539682925;11,0197
1539686000;10,0597
1539689075;9,7547
1539692150;9,9967
1539695225;9,6497
1539698300;10,1547
1539701375;9,5687
1539704450;9,5577
1539707525;9,6057
1539710600;10,0977
1539713675;9,8677
1539716750;10,4007
1539719825;10,3567
1539722900;10,5847
1539725975;12,8317
1539729050;17,8407
1539732125;18,4677
1539735200;9,9507
1539738275;10,6877
1539741350;9,6657
1539744425;10,0647
1539747500;9,8457
