Date: 2020-05-08 13:04:52

Measuring points
Start X: 210
End X: 234
Start Y: 120
End Y: 135
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;10,6997
1539443075;10,6077
1539446150;9,9137
1539449225;9,5737
1539452300;10,0977
1539455375;10,4157
1539458450;9,4697
1539461525;9,6277
1539464600;9,2817
1539467675;9,7087
1539470750;10,6857
1539473825;9,5167
1539476900;9,7267
1539479975;11,1027
1539483050;9,8167
1539486125;9,7047
1539489200;10,2427
1539492275;9,7567
1539495350;9,4637
1539498425;11,0527
1539501500;9,9747
1539504575;11,4797
1539507650;14,8027
1539510725;14,8107
1539513800;9,8587
1539516875;10,1207
1539519950;9,7197
1539523025;10,6487
1539526100;9,7497
1539529175;11,7447
1539532250;9,5647
1539535325;10,5567
1539538400;9,7637
1539541475;10,7567
1539544550;10,3177
1539547625;9,6647
1539550700;10,2557
1539553775;11,1137
1539556850;9,5797
1539559925;9,4657
1539563000;10,6317
1539566075;10,6317
1539569150;12,1477
1539572225;9,8587
1539575300;10,2097
1539578375;11,5017
1539581450;15,5787
1539584525;15,6997
1539587600;9,7177
1539590675;9,9667
1539593750;9,5627
1539596825;9,4117
1539599900;10,1437
1539602975;9,8477
1539606050;9,8267
1539609125;9,5597
1539612200;9,2267
1539615275;9,5667
1539618350;9,6607
1539621425;10,4887
1539624500;9,9207
1539627575;10,0077
1539630650;10,2207
1539633725;10,2467
1539636800;9,7477
1539639875;9,5647
1539642950;9,8107
1539646025;9,0397
1539649100;10,3437
1539652175;12,8947
1539655250;16,4707
1539658325;16,0467
1539661400;10,1447
1539664475;10,1007
1539667550;10,0577
1539670625;9,7227
1539673700;10,3457
1539676775;9,9987
1539679850;9,7177
1539682925;9,7747
1539686000;10,5487
1539689075;9,7617
1539692150;10,1137
1539695225;9,6677
1539698300;10,8377
1539701375;9,4797
1539704450;9,9567
1539707525;9,1117
1539710600;10,6117
1539713675;10,2577
1539716750;10,3507
1539719825;10,6337
1539722900;10,1177
1539725975;11,5297
1539729050;16,4597
1539732125;17,5957
1539735200;10,2697
1539738275;9,5757
1539741350;9,6057
1539744425;10,1967
1539747500;10,1467
1539750575;8,8907
1539753650;9,8267
1539756725;10,4387
1539759800;9,9937
1539762875;9,9507
1539765950;10,1097
1539769025;10,1197
1539772100;9,2807
1539775175;10,0137
1539778250;9,7967
1539781325;9,9087
1539784400;9,7497
1539787475;10,6067
1539790550;12,0757
1539793625;9,6747
1539796700;9,4197
1539799775;12,9107
1539802850;17,0047
1539805925;18,2557
1539809000;10,1497
1539812075;9,5717
1539815150;9,5677
1539818225;10,0487
1539821300;10,9467
1539824375;9,9447
1539827450;9,8967
1539830525;10,0157
1539833600;10,3037
1539836675;10,2917
1539839750;9,1377
1539842825;9,4667
1539845900;9,6047
1539848975;9,8617
1539852050;9,7237
1539855125;9,6507
1539858200;10,3097
1539861275;9,8707
1539864350;9,8527
1539867425;10,9057
1539870500;10,3487
1539873575;11,2817
1539876650;16,8657
1539879725;16,8127
1539882800;11,5837
1539885875;9,3177
1539888950;9,9647
1539892025;9,6187
1539895100;9,8077
1539898175;9,9937
1539901250;9,3747
1539904325;10,0927
1539907400;9,3167
1539910475;9,6597
1539913550;8,8787
1539916625;10,1197
1539919700;10,9597
1539922775;10,0507
1539925850;9,1817
1539928925;8,8197
1539932000;9,0187
1539935075;10,2657
1539938150;10,0437
1539941225;9,3287
1539944300;10,6437
1539947375;15,6787
1539950450;21,3447
1539953525;22,4377
1539956600;15,8937
1539959675;10,0567
1539962750;10,8347
1539965825;10,2417
1539968900;9,7007
1539971975;10,3607
1539975050;10,1107
1539978125;10,3997
1539981200;9,8737
1539984275;10,1197
1539987350;10,9507
1539990425;9,7167
1539993500;9,5587
1539996575;11,2317
1539999650;11,4487
1540002725;10,2987
1540005800;11,1747
1540008875;10,2117
1540011950;10,0137
1540015025;15,0667
1540018100;17,5357
1540021175;25,5217
1540024250;35,1027
1540027325;38,6377
1540030400;36,7027
1540033475;19,1537
1540036550;16,3277
1540039625;11,4827
1540042700;9,7557
1540045775;9,3767
1540048850;10,0107
1540051925;9,7467
1540055000;9,6647
1540058075;10,2187
1540061150;9,4597
1540064225;9,5057
1540067300;10,3657
1540070375;9,8657
1540073450;9,6657
1540076525;9,7027
1540079600;11,1097
1540082675;10,0957
1540085750;10,1427
1540088825;10,3087
1540091900;9,8107
1540094975;14,0287
1540098050;21,5537
1540101125;22,9517
1540104200;18,3347
1540107275;9,8067
1540110350;9,8697
1540113425;9,5207
1540116500;10,4387
