Date: 2020-05-06 17:48:10

Measuring points
Start X: 207
End X: 264
Start Y: 126
End Y: 144
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;9,5537
1539443075;10,4007
1539446150;9,2857
1539449225;9,4297
1539452300;9,9507
1539455375;9,8627
1539458450;10,4077
1539461525;9,8217
1539464600;10,4887
1539467675;10,2957
1539470750;9,8547
1539473825;10,3477
1539476900;10,3417
1539479975;9,9177
1539483050;9,5257
1539486125;11,3947
1539489200;9,9227
1539492275;9,1347
1539495350;10,7497
1539498425;9,8627
1539501500;9,3137
1539504575;11,2847
1539507650;13,8117
1539510725;13,0557
1539513800;9,6127
1539516875;9,4167
1539519950;9,5647
1539523025;9,8267
1539526100;9,3227
1539529175;9,8497
1539532250;9,8197
1539535325;9,9667
1539538400;10,1187
1539541475;9,4697
1539544550;10,8927
1539547625;9,5277
1539550700;10,1417
1539553775;10,2957
1539556850;9,8627
1539559925;9,8237
1539563000;9,8607
1539566075;9,3837
1539569150;9,3557
1539572225;9,5617
1539575300;9,7137
1539578375;10,4907
1539581450;17,0107
1539584525;17,1037
1539587600;10,1507
1539590675;10,0147
1539593750;9,3757
1539596825;9,6077
1539599900;9,7247
1539602975;9,5797
1539606050;10,6627
1539609125;10,1927
1539612200;9,4167
1539615275;10,5827
1539618350;9,8167
1539621425;9,5757
1539624500;9,4787
1539627575;9,5297
1539630650;10,0037
1539633725;9,9137
1539636800;10,4997
1539639875;9,4547
1539642950;9,8107
1539646025;10,3047
1539649100;9,9157
1539652175;10,5387
1539655250;14,9657
1539658325;16,0447
1539661400;11,0197
1539664475;9,6647
1539667550;10,1687
1539670625;10,3037
1539673700;9,9507
1539676775;10,4047
1539679850;10,2647
1539682925;9,8067
1539686000;9,1587
1539689075;9,6607
1539692150;9,9667
1539695225;9,4567
1539698300;9,4317
1539701375;10,1027
1539704450;9,3727
1539707525;9,9097
1539710600;9,9667
1539713675;10,3387
1539716750;9,1577
1539719825;9,5817
1539722900;9,9617
1539725975;10,5597
1539729050;16,5137
1539732125;17,5767
1539735200;13,4987
1539738275;9,7027
1539741350;9,9097
1539744425;9,5997
1539747500;10,1157
1539750575;10,1637
1539753650;9,1687
1539756725;9,7637
1539759800;10,3917
1539762875;10,2447
1539765950;9,4797
1539769025;9,2227
1539772100;9,6647
1539775175;9,5497
1539778250;10,1637
1539781325;10,1887
1539784400;10,9557
1539787475;11,2587
1539790550;13,4617
1539793625;10,9597
1539796700;11,0157
1539799775;10,7827
1539802850;16,1377
1539805925;17,0257
1539809000;11,3757
1539812075;9,8507
1539815150;9,9677
1539818225;10,0457
1539821300;10,5147
1539824375;9,5147
1539827450;9,8487
1539830525;11,1787
1539833600;9,5147
1539836675;10,2157
1539839750;10,3667
1539842825;9,5307
1539845900;9,5267
1539848975;9,3607
1539852050;9,2347
1539855125;10,5407
1539858200;9,2597
1539861275;10,0127
1539864350;9,9447
1539867425;9,9167
1539870500;9,9647
1539873575;9,9717
1539876650;17,9627
1539879725;18,4267
1539882800;15,3337
1539885875;10,0087
1539888950;9,4697
1539892025;9,5617
1539895100;9,7987
1539898175;9,8257
1539901250;9,8627
1539904325;9,7007
1539907400;9,7967
1539910475;10,0587
1539913550;9,7987
1539916625;10,9167
1539919700;10,1427
1539922775;10,0107
1539925850;10,0927
1539928925;9,3787
1539932000;10,0047
1539935075;9,6557
1539938150;10,5057
1539941225;10,4357
1539944300;10,4087
1539947375;9,7537
1539950450;15,9937
1539953525;17,7427
1539956600;15,5357
1539959675;11,5397
1539962750;9,2077
1539965825;9,8667
1539968900;9,3737
1539971975;9,9017
1539975050;9,0337
1539978125;9,6207
1539981200;9,6507
1539984275;9,6117
1539987350;9,1777
1539990425;10,3607
1539993500;9,3347
1539996575;9,5107
1539999650;9,6177
1540002725;9,7147
1540005800;10,0507
1540008875;10,5607
1540011950;12,9877
1540015025;12,0957
1540018100;14,4897
1540021175;28,6747
1540024250;36,8207
1540027325;37,1517
1540030400;33,0507
